       -0.93,        0.05

       -0.93,        0.05

       -0.92,        0.05

       -0.92,        0.05

       -0.92,        0.05

       -0.92,        0.05

       -0.92,        0.05

       -0.92,        0.05

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.92,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.91,        0.06

       -0.90,        0.06

       -0.90,        0.06

       -0.90,        0.06

       -0.90,        0.06

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.90,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.89,        0.07

       -0.88,        0.07

       -0.88,        0.07

       -0.88,        0.07

       -0.88,        0.07

       -0.88,        0.07

       -0.88,        0.08

       -0.88,        0.08

       -0.88,        0.08

       -0.88,        0.08

       -0.88,        0.08

       -0.88,        0.08

       -0.88,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.87,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.08

       -0.86,        0.09

       -0.86,        0.09

       -0.86,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.85,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.84,        0.09

       -0.83,        0.09

       -0.83,        0.09

       -0.83,        0.09

       -0.83,        0.09

       -0.83,        0.09

       -0.83,        0.10

       -0.83,        0.10

       -0.83,        0.10

       -0.83,        0.10

       -0.83,        0.10

       -0.83,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.82,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.81,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.10

       -0.80,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.79,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.78,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.77,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.76,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.11

       -0.75,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.74,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.73,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.72,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.71,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.70,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.69,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.68,        0.12

       -0.67,        0.12

       -0.67,        0.12

       -0.67,        0.12

       -0.67,        0.12

       -0.67,        0.12

       -0.67,        0.12

       -0.67,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.66,        0.12

       -0.65,        0.12

       -0.65,        0.12

       -0.65,        0.12

       -0.65,        0.12

       -0.65,        0.12

       -0.65,        0.12

       -0.65,        0.12

       -0.64,        0.12

       -0.64,        0.12

       -0.64,        0.12

       -0.64,        0.12

       -0.64,        0.12

       -0.64,        0.12

       -0.64,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.63,        0.12

       -0.62,        0.12

       -0.62,        0.12

       -0.62,        0.12

       -0.62,        0.12

       -0.62,        0.12

       -0.62,        0.12

       -0.62,        0.11

       -0.61,        0.11

       -0.61,        0.11

       -0.61,        0.11

       -0.61,        0.11

       -0.61,        0.11

       -0.61,        0.11

       -0.61,        0.11

       -0.60,        0.11

       -0.60,        0.11

       -0.60,        0.11

       -0.60,        0.11

       -0.60,        0.11

       -0.60,        0.11

       -0.60,        0.11

       -0.59,        0.11

       -0.59,        0.11

       -0.59,        0.11

       -0.59,        0.11

       -0.59,        0.11

       -0.59,        0.11

       -0.59,        0.11

       -0.58,        0.11

       -0.58,        0.11

       -0.58,        0.11

       -0.58,        0.11

       -0.58,        0.11

       -0.58,        0.11

       -0.58,        0.11

       -0.57,        0.11

       -0.57,        0.11

       -0.57,        0.10

       -0.57,        0.10

       -0.57,        0.10

       -0.57,        0.10

       -0.56,        0.10

       -0.56,        0.10

       -0.56,        0.10

       -0.56,        0.10

       -0.56,        0.10

       -0.56,        0.10

       -0.56,        0.10

       -0.55,        0.10

       -0.55,        0.10

       -0.55,        0.10

       -0.55,        0.10

       -0.55,        0.10

       -0.55,        0.10

       -0.55,        0.10

       -0.54,        0.10

       -0.54,        0.10

       -0.54,        0.10

       -0.54,        0.09

       -0.54,        0.09

       -0.54,        0.09

       -0.54,        0.09

       -0.53,        0.09

       -0.53,        0.09

       -0.53,        0.09

       -0.53,        0.09

       -0.53,        0.09

       -0.53,        0.09

       -0.53,        0.09

       -0.52,        0.09

       -0.52,        0.09

       -0.52,        0.09

       -0.52,        0.09

       -0.52,        0.09

       -0.52,        0.08

       -0.52,        0.08

       -0.51,        0.08

       -0.51,        0.08

       -0.51,        0.08

       -0.51,        0.08

       -0.51,        0.08

       -0.51,        0.08

       -0.51,        0.08

       -0.50,        0.08

       -0.50,        0.08

       -0.50,        0.08

       -0.50,        0.08

       -0.50,        0.08

       -0.50,        0.07

       -0.50,        0.07

       -0.49,        0.07

       -0.49,        0.07

       -0.49,        0.07

       -0.49,        0.07

       -0.49,        0.07

       -0.49,        0.07

       -0.49,        0.07

       -0.48,        0.07

       -0.48,        0.07

       -0.48,        0.07

       -0.48,        0.06

       -0.48,        0.06

       -0.48,        0.06

       -0.48,        0.06

       -0.47,        0.06

       -0.47,        0.06

       -0.47,        0.06

       -0.47,        0.06

       -0.47,        0.06

       -0.47,        0.06

       -0.47,        0.06

       -0.46,        0.05

       -0.46,        0.05

       -0.46,        0.05

       -0.46,        0.05

       -0.46,        0.05

       -0.46,        0.05

       -0.46,        0.05

       -0.45,        0.05

       -0.45,        0.05

       -0.45,        0.05

       -0.45,        0.05

       -0.45,        0.04

       -0.45,        0.04

       -0.45,        0.04

       -0.45,        0.04

       -0.44,        0.04

       -0.44,        0.04

       -0.44,        0.04

       -0.44,        0.04

       -0.44,        0.04

       -0.44,        0.03

       -0.44,        0.03

       -0.44,        0.03

       -0.43,        0.03

       -0.43,        0.03

       -0.43,        0.03

       -0.43,        0.03

       -0.43,        0.03

       -0.43,        0.03

       -0.43,        0.03

       -0.43,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.42,        0.02

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.01

       -0.41,        0.00

       -0.40,        0.00

       -0.40,        0.00

       -0.40,        0.00

       -0.40,       -0.00

       -0.40,       -0.00

       -0.40,       -0.00

       -0.40,       -0.00

       -0.40,       -0.00

       -0.40,       -0.01

       -0.39,       -0.01

       -0.39,       -0.01

       -0.39,       -0.01

       -0.39,       -0.01

       -0.39,       -0.01

       -0.39,       -0.01

       -0.39,       -0.01

       -0.39,       -0.02

       -0.39,       -0.02

       -0.38,       -0.02

       -0.38,       -0.02

       -0.38,       -0.02

       -0.38,       -0.02

       -0.38,       -0.02

       -0.38,       -0.02

       -0.38,       -0.03

       -0.38,       -0.03

       -0.38,       -0.03

       -0.38,       -0.03

       -0.37,       -0.03

       -0.37,       -0.03

       -0.37,       -0.03

       -0.37,       -0.03

       -0.37,       -0.04

       -0.37,       -0.04

       -0.37,       -0.04

       -0.37,       -0.04

       -0.37,       -0.04

       -0.37,       -0.04

       -0.36,       -0.04

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.05

       -0.36,       -0.06

       -0.36,       -0.06

       -0.35,       -0.06

       -0.35,       -0.06

       -0.35,       -0.06

       -0.35,       -0.06

       -0.35,       -0.06

       -0.35,       -0.06

       -0.35,       -0.07

       -0.35,       -0.07

       -0.35,       -0.07

       -0.35,       -0.07

       -0.35,       -0.07

       -0.34,       -0.07

       -0.34,       -0.07

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.08

       -0.34,       -0.09

       -0.34,       -0.09

       -0.33,       -0.09

       -0.33,       -0.09

       -0.33,       -0.09

       -0.33,       -0.09

       -0.33,       -0.09

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.10

       -0.33,       -0.11

       -0.32,       -0.11

       -0.32,       -0.11

       -0.32,       -0.11

       -0.32,       -0.11

       -0.32,       -0.11

       -0.32,       -0.11

       -0.32,       -0.12

       -0.32,       -0.12

       -0.32,       -0.12

       -0.32,       -0.12

       -0.32,       -0.12

       -0.32,       -0.12

       -0.32,       -0.12

       -0.32,       -0.12

       -0.31,       -0.13

       -0.31,       -0.13

       -0.31,       -0.13

       -0.31,       -0.13

       -0.31,       -0.13

       -0.31,       -0.13

       -0.31,       -0.13

       -0.31,       -0.14

       -0.31,       -0.14

       -0.31,       -0.14

       -0.31,       -0.14

       -0.31,       -0.14

       -0.31,       -0.14

       -0.31,       -0.14

       -0.31,       -0.15

       -0.31,       -0.15

       -0.30,       -0.15

       -0.30,       -0.15

       -0.30,       -0.15

       -0.30,       -0.15

       -0.30,       -0.15

       -0.30,       -0.15

       -0.30,       -0.16

       -0.30,       -0.16

       -0.30,       -0.16

       -0.30,       -0.16

       -0.30,       -0.16

       -0.30,       -0.16

       -0.30,       -0.16

       -0.30,       -0.17

       -0.30,       -0.17

       -0.30,       -0.17

       -0.30,       -0.17

       -0.29,       -0.17

       -0.29,       -0.17

       -0.29,       -0.17

       -0.29,       -0.17

       -0.29,       -0.18

       -0.29,       -0.18

       -0.29,       -0.18

       -0.29,       -0.18

       -0.29,       -0.18

       -0.29,       -0.18

       -0.29,       -0.18

       -0.29,       -0.19

       -0.29,       -0.19

       -0.29,       -0.19

       -0.29,       -0.19

       -0.29,       -0.19

       -0.29,       -0.19

       -0.29,       -0.19

       -0.29,       -0.19

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.20

       -0.28,       -0.21

       -0.28,       -0.21

       -0.28,       -0.21

       -0.28,       -0.21

       -0.28,       -0.21

       -0.28,       -0.21

       -0.28,       -0.21

       -0.28,       -0.22

       -0.28,       -0.22

       -0.28,       -0.22

       -0.28,       -0.22

       -0.28,       -0.22

       -0.28,       -0.22

       -0.28,       -0.22

       -0.27,       -0.22

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.23

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.24

       -0.27,       -0.25

       -0.27,       -0.25

       -0.27,       -0.25

       -0.27,       -0.25

       -0.27,       -0.25

       -0.27,       -0.25

       -0.27,       -0.25

       -0.26,       -0.25

       -0.26,       -0.26

       -0.26,       -0.26

       -0.26,       -0.26

       -0.26,       -0.26

       -0.26,       -0.26

       -0.26,       -0.26

       -0.26,       -0.26

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.27

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.28

       -0.26,       -0.29

       -0.26,       -0.29

       -0.26,       -0.29

       -0.25,       -0.29

       -0.25,       -0.29

       -0.25,       -0.29

       -0.25,       -0.29

       -0.25,       -0.29

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.30

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.31

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.32

       -0.25,       -0.33

       -0.25,       -0.33

       -0.25,       -0.33

       -0.25,       -0.33

       -0.24,       -0.33

       -0.24,       -0.33

       -0.24,       -0.33

       -0.24,       -0.33

       -0.24,       -0.33

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.34

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.35

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.36

       -0.24,       -0.37

       -0.24,       -0.37

       -0.24,       -0.37

       -0.24,       -0.37

       -0.24,       -0.37

       -0.24,       -0.37

       -0.24,       -0.37

       -0.24,       -0.37

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.38

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.39

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.40

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.41

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.42

       -0.23,       -0.43

       -0.23,       -0.43

       -0.23,       -0.43

       -0.22,       -0.43

       -0.22,       -0.43

       -0.22,       -0.43

       -0.22,       -0.43

       -0.22,       -0.43

       -0.22,       -0.43

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.44

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.45

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.46

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.47

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.48

       -0.22,       -0.49

       -0.22,       -0.49

       -0.22,       -0.49

       -0.22,       -0.49

       -0.21,       -0.49

       -0.21,       -0.49

       -0.21,       -0.49

       -0.21,       -0.49

       -0.21,       -0.49

       -0.21,       -0.49

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.50

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.51

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.52

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.53

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.54

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.55

       -0.21,       -0.56

       -0.21,       -0.56

       -0.21,       -0.56

       -0.21,       -0.56

       -0.20,       -0.56

       -0.20,       -0.56

       -0.20,       -0.56

       -0.20,       -0.56

       -0.20,       -0.56

       -0.20,       -0.56

       -0.20,       -0.56

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.57

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.58

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.59

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.60

       -0.20,       -0.61

       -0.20,       -0.61

